date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,7.32,7.54,7.45,7.3,112382.53,0.11,1.5,7.314,7.287,7.233,69700.78,58249.61,54554.11,1.59
2017-12-06,7.23,7.34,7.34,7.21,78282.97,0.11,1.52,7.272,7.262,7.216,54251.61,52360.85,49900.86,1.11
2017-12-05,7.24,7.28,7.23,7.2,43048.74,-0.07,-0.96,7.264,7.257,7.205,48553.3,50747.86,47192.16,0.61
2017-12-04,7.25,7.34,7.3,7.21,69453.65,0.05,0.69,7.272,7.259,7.202,49962.1,51260.92,46883.22,0.99
2017-12-01,7.24,7.28,7.25,7.11,45336.0,0.01,0.14,7.252,7.249,7.189,47740.82,47024.25,45152.23,0.64
2017-11-30,7.34,7.34,7.24,7.2,35136.67,-0.06,-0.82,7.26,7.236,7.171,46798.44,51583.9,45210.75,0.5
2017-11-29,7.24,7.3,7.3,7.21,49791.42,0.03,0.41,7.252,7.247,7.163,50470.09,54049.63,44861.78,0.71
2017-11-28,7.15,7.27,7.27,7.15,50092.76,0.07,0.97,7.25,7.234,7.155,52942.43,55343.89,43549.68,0.71
2017-11-27,7.26,7.36,7.2,7.2,58347.26,-0.09,-1.24,7.246,7.21,7.15,52559.73,53746.0,42468.82,0.83
2017-11-24,7.17,7.3,7.29,7.14,40624.07,0.09,1.25,7.246,7.197,7.144,46307.68,51602.73,43855.91,0.58
2017-11-23,7.23,7.33,7.2,7.15,53494.93,-0.09,-1.24,7.212,7.178,7.143,56369.35,50858.6,43397.71,0.76
2017-11-22,7.33,7.37,7.29,7.22,62153.14,0.04,0.55,7.242,7.17,7.144,57629.17,47440.86,41888.57,0.88
2017-11-21,7.18,7.3,7.25,7.13,48179.26,0.05,0.69,7.218,7.153,7.14,57745.34,43636.45,39952.59,0.68
2017-11-20,7.12,7.2,7.2,7.01,27087.0,0.08,1.12,7.174,7.145,7.137,54932.27,42505.52,38386.08,0.38
2017-11-17,7.27,7.37,7.12,7.0,90932.44,-0.23,-3.13,7.148,7.128,7.137,56897.77,43280.22,37946.28,1.29
2017-11-16,7.17,7.36,7.35,7.11,59794.0,0.18,2.51,7.144,7.105,7.14,45347.85,38837.61,34280.18,0.85
2017-11-15,7.02,7.35,7.17,7.0,62734.0,0.14,1.99,7.098,7.078,7.127,37252.56,35673.93,33391.6,0.89
2017-11-14,7.06,7.08,7.03,7.02,34113.91,-0.04,-0.57,7.088,7.075,7.129,29527.56,31755.48,31942.47,0.48
2017-11-13,7.11,7.13,7.07,7.02,36914.5,-0.03,-0.42,7.116,7.09,7.138,30078.78,31191.64,31495.51,0.52
2017-11-10,7.12,7.14,7.1,7.07,33182.86,-0.02,-0.28,7.108,7.09,7.144,29662.67,36109.09,33329.48,0.47
2017-11-09,7.1,7.16,7.12,7.1,19317.52,0.0,0.0,7.066,7.107,7.156,32327.36,35936.82,34519.95,0.27
2017-11-08,7.17,7.18,7.12,7.11,24109.0,-0.05,-0.7,7.058,7.118,7.163,34095.29,36336.27,35765.83,0.34
2017-11-07,6.98,7.17,7.17,6.98,36870.0,0.14,1.99,7.062,7.126,7.173,33983.4,36268.73,37098.68,0.52
2017-11-06,6.9,7.04,7.03,6.9,34833.95,0.14,2.03,7.064,7.129,7.181,32304.5,34266.63,36841.22,0.49
2017-11-03,7.08,7.11,6.89,6.88,46506.31,-0.19,-2.68,7.072,7.146,7.196,42555.51,32612.35,37002.33,0.66
2017-11-02,7.11,7.18,7.08,7.07,28157.21,-0.06,-0.84,7.148,7.174,7.217,39546.29,29722.76,36554.17,0.4
2017-11-01,7.19,7.2,7.14,7.13,23549.51,-0.04,-0.56,7.178,7.176,7.227,38577.25,31109.27,37471.04,0.33
2017-10-31,7.05,7.18,7.18,7.01,28475.5,0.11,1.56,7.19,7.182,7.237,38554.07,32129.47,37639.87,0.4
2017-10-30,7.27,7.31,7.07,6.9,86089.02,-0.2,-2.75,7.194,7.185,7.242,36228.77,31799.38,37551.17,1.22
2017-10-27,7.23,7.33,7.27,7.2,31460.2,0.04,0.55,7.22,7.198,7.25,22669.19,30549.88,35242.48,0.45
2017-10-26,7.2,7.25,7.23,7.18,23312.0,0.03,0.42,7.2,7.204,7.256,19899.23,33103.08,36520.89,0.33
2017-10-25,7.23,7.27,7.2,7.16,23433.62,0.0,0.0,7.174,7.207,7.268,23641.29,35195.39,38960.49,0.33
2017-10-24,7.2,7.23,7.2,7.17,16849.0,0.0,0.0,7.174,7.219,7.289,25704.87,37928.64,42867.6,0.24
2017-10-23,7.16,7.21,7.2,7.15,18291.11,0.03,0.42,7.176,7.232,7.302,27369.99,39415.82,45630.91,0.26
2017-10-20,7.1,7.21,7.17,7.1,17610.43,0.07,0.99,7.176,7.246,7.322,38430.57,41392.3,50496.36,0.25
2017-10-19,7.2,7.22,7.1,7.06,42022.3,-0.1,-1.39,7.208,7.26,7.334,46306.93,43385.58,52684.07,0.6
