date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,22.85,24.28,23.61,22.2,78914.36,0.6,2.61,23.77,25.125,27.633,63851.14,70481.62,75655.61,21.86
2017-12-06,22.39,23.15,23.01,22.16,51307.04,0.71,3.18,24.386,25.608,27.517,64364.85,74906.27,71713.99,14.21
2017-12-05,23.1,23.96,22.3,21.92,60093.65,-1.35,-5.71,24.976,26.467,27.334,69416.53,86025.87,69151.05,16.65
2017-12-04,25.62,25.86,23.65,23.65,71648.81,-2.63,-10.01,25.876,27.23,27.099,70857.2,94716.79,66146.92,19.85
2017-12-01,26.4,26.55,26.28,25.49,57291.82,-0.41,-1.54,26.336,28.141,26.716,70718.95,102622.11,62565.93,15.87
2017-11-30,26.02,27.3,26.69,25.85,81482.91,0.73,2.81,26.48,29.083,26.129,77112.11,119011.19,59704.21,22.57
2017-11-29,26.22,26.47,25.96,25.02,76565.47,-0.84,-3.13,26.83,29.843,25.455,85447.68,110986.75,55631.81,21.21
2017-11-28,26.18,27.5,26.8,26.11,67297.01,0.85,3.28,27.958,30.364,24.758,102635.21,103454.99,51806.45,18.64
2017-11-27,26.48,27.3,25.95,25.66,70957.55,-1.05,-3.89,28.584,30.518,24.651,118576.37,96803.08,50991.15,19.66
2017-11-24,27.94,29.44,27.0,26.76,89257.62,-1.44,-5.06,29.946,30.499,24.578,134525.28,89746.48,49881.91,24.73
2017-11-23,30.0,30.29,28.44,28.44,123160.77,-3.16,-10.0,31.686,30.141,24.436,160910.27,80829.6,47565.69,34.12
2017-11-22,30.0,32.92,31.6,29.16,162503.09,1.67,5.58,32.856,29.426,24.186,136525.82,68521.72,42841.0,45.01
2017-11-21,31.01,32.75,29.93,29.48,147002.81,-2.83,-8.64,32.77,28.201,23.691,104274.76,52276.23,34863.53,40.72
2017-11-20,33.53,35.68,32.76,32.13,150702.09,-2.94,-8.23,32.452,26.967,23.246,75029.78,37577.05,26853.58,41.75
2017-11-17,37.72,37.72,35.7,30.87,221182.59,1.41,4.11,31.052,25.29,22.514,44967.69,22509.74,17326.77,61.27
2017-11-16,34.29,34.29,34.29,34.29,1238.54,3.12,10.01,28.596,23.174,21.415,748.93,397.23,338.78,0.34
2017-11-15,31.17,31.17,31.17,31.17,1247.78,2.83,9.99,25.996,21.067,20.245,517.62,276.87,256.99,0.35
2017-11-14,28.34,28.34,28.34,28.34,777.92,2.58,10.02,23.632,19.152,19.152,277.69,157.91,157.91,0.22
2017-11-13,25.76,25.76,25.76,25.76,391.62,2.34,9.99,21.482,18.131,18.131,124.31,89.02,89.02,0.11
2017-11-10,23.42,23.42,23.42,23.42,88.77,2.13,10.01,19.528,17.178,17.178,51.78,51.19,51.19,0.02
2017-11-09,21.29,21.29,21.29,21.29,82.0,1.94,10.03,17.752,16.286,16.286,45.52,45.82,45.82,0.02
2017-11-08,19.35,19.35,19.35,19.35,48.15,1.76,10.01,16.138,15.452,15.452,36.12,39.8,39.8,0.01
2017-11-07,17.59,17.59,17.59,17.59,11.0,1.6,10.01,14.672,14.672,14.672,38.12,38.12,38.12,0.0
2017-11-06,15.99,15.99,15.99,15.99,29.0,1.45,9.97,13.943,13.943,13.943,44.91,44.91,44.91,0.01
2017-11-03,14.54,14.54,14.54,14.54,57.47,1.32,9.98,13.26,13.26,13.26,50.21,50.21,50.21,0.02
2017-11-02,13.22,13.22,13.22,13.22,35.0,1.2,9.98,12.62,12.62,12.62,46.58,46.58,46.58,0.01
2017-11-01,10.02,12.02,12.02,10.02,58.15,3.67,43.95,12.02,12.02,12.02,58.15,58.15,58.15,0.02
