date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,74.0,82.57,82.57,73.73,58869.39,7.51,10.01,72.338,61.993,43.987,67996.53,34637.58,17374.29,32.11
2017-12-06,71.2,75.06,75.06,70.62,74353.0,6.82,9.99,68.21,57.581,41.956,56453.05,28815.64,15190.34,40.56
2017-12-05,70.19,71.78,68.24,67.51,71668.05,0.54,0.8,64.458,53.57,40.117,41806.06,21399.84,11903.52,39.09
2017-12-04,74.93,74.93,67.7,67.02,130285.32,-0.42,-0.62,61.046,49.923,38.462,27879.06,14239.63,8387.96,71.06
2017-12-01,68.12,68.12,68.12,68.12,4806.89,6.19,9.99,56.812,46.041,36.635,2066.6,1218.2,769.38,2.62
2017-11-30,61.93,61.93,61.93,61.93,1152.0,5.63,10.0,51.648,41.854,34.536,1278.62,740.31,500.21,0.63
2017-11-29,56.3,56.3,56.3,56.3,1118.02,5.12,10.0,46.952,38.047,32.579,1178.22,628.51,453.65,0.61
2017-11-28,51.18,51.18,51.18,51.18,2033.09,4.65,9.99,42.682,34.586,30.755,993.62,519.31,402.55,1.11
2017-11-27,46.53,46.53,46.53,46.53,1223.0,4.23,10.0,38.8,31.44,29.053,600.2,317.2,266.67,0.67
2017-11-24,42.3,42.3,42.3,42.3,867.0,3.85,10.01,35.27,28.58,27.464,369.8,195.5,179.73,0.47
2017-11-23,38.45,38.45,38.45,38.45,650.0,3.5,10.01,32.06,25.98,25.98,202.0,111.0,111.0,0.35
2017-11-22,34.95,34.95,34.95,34.95,195.0,3.18,10.01,29.142,24.594,24.594,78.8,51.11,51.11,0.11
2017-11-21,31.77,31.77,31.77,31.77,66.0,2.89,10.01,26.49,23.3,23.3,45.0,33.13,33.13,0.04
2017-11-20,28.88,28.88,28.88,28.88,71.0,2.63,10.02,24.08,22.09,22.09,34.2,28.43,28.43,0.04
2017-11-17,26.25,26.25,26.25,26.25,28.0,2.39,10.02,21.89,20.958,20.958,21.2,21.33,21.33,0.02
2017-11-16,23.86,23.86,23.86,23.86,34.0,2.17,10.01,19.9,19.9,19.9,20.0,20.0,20.0,0.02
2017-11-15,21.69,21.69,21.69,21.69,26.0,1.97,9.99,18.91,18.91,18.91,16.5,16.5,16.5,0.01
2017-11-14,19.72,19.72,19.72,19.72,12.0,1.79,9.98,17.983,17.983,17.983,13.33,13.33,13.33,0.01
2017-11-13,17.93,17.93,17.93,17.93,6.0,1.63,10.0,17.115,17.115,17.115,14.0,14.0,14.0,0.0
2017-11-10,13.58,16.3,16.3,13.58,22.0,4.98,43.99,16.3,16.3,16.3,22.0,22.0,22.0,0.01
