date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,7.3,7.69,7.57,7.3,79070.83,0.28,3.84,7.288,7.282,7.805,43017.32,44270.32,73384.39,1.83
2017-12-06,7.22,7.29,7.29,7.11,32250.3,0.1,1.39,7.202,7.241,7.864,33624.75,42873.42,73683.02,0.75
2017-12-05,7.1,7.27,7.19,7.04,43553.07,0.04,0.56,7.196,7.286,7.944,33444.13,44720.31,80792.78,1.01
2017-12-04,7.21,7.24,7.15,7.03,30444.35,-0.09,-1.24,7.228,7.347,8.02,32753.79,47211.1,85110.07,0.7
2017-12-01,7.14,7.26,7.24,7.12,29768.05,0.1,1.4,7.27,7.43,8.08,37967.81,50787.76,88117.48,0.69
2017-11-30,7.2,7.3,7.14,7.11,32108.0,-0.12,-1.65,7.276,7.536,8.143,45523.32,59366.36,90252.01,0.74
2017-11-29,7.33,7.39,7.26,7.14,31347.2,-0.09,-1.22,7.28,7.722,8.212,52122.08,68576.45,94118.12,0.73
2017-11-28,7.41,7.53,7.35,7.22,40101.37,-0.01,-0.14,7.376,7.919,8.294,55996.49,85341.26,102197.77,0.93
2017-11-27,7.24,7.45,7.36,7.16,56514.43,0.09,1.24,7.466,8.083,8.379,61668.4,98136.44,108533.3,1.31
2017-11-24,7.11,7.28,7.27,7.01,67545.58,0.11,1.54,7.59,8.208,8.45,63607.72,99914.55,117259.86,1.56
2017-11-23,7.72,7.72,7.16,7.1,65101.82,-0.58,-7.49,7.796,8.328,8.52,73209.41,102498.47,122633.07,1.51
2017-11-22,7.77,7.8,7.74,7.63,50719.27,-0.06,-0.77,8.164,8.487,8.605,85030.81,104492.63,131649.48,1.17
2017-11-21,7.9,8.03,7.8,7.55,68460.88,-0.18,-2.26,8.462,8.601,8.673,114686.03,116865.25,147632.02,1.58
2017-11-20,8.3,8.3,7.98,7.48,66211.03,-0.32,-3.85,8.7,8.692,8.754,134604.48,123009.05,168050.35,1.53
2017-11-17,8.94,8.96,8.3,8.3,115554.04,-0.7,-7.78,8.826,8.73,8.872,136221.39,125447.19,194259.04,2.67
2017-11-16,9.15,9.36,9.0,9.0,124208.83,-0.23,-2.49,8.86,8.75,8.969,131787.53,121137.66,216866.78,2.87
2017-11-15,8.98,9.35,9.23,8.75,198995.36,0.24,2.67,8.81,8.701,8.985,123954.45,119659.8,216516.03,4.61
2017-11-14,8.51,9.14,8.99,8.45,168053.14,0.38,4.41,8.74,8.668,8.947,119044.46,119054.27,225253.71,3.89
2017-11-13,8.37,8.61,8.61,8.35,74295.58,0.14,1.65,8.684,8.674,8.912,111413.63,118930.16,226564.22,1.72
2017-11-10,8.71,8.76,8.47,8.39,93384.74,-0.28,-3.2,8.634,8.692,8.858,114673.0,134605.16,226652.11,2.16
2017-11-09,8.73,8.83,8.75,8.63,85043.45,-0.13,-1.46,8.64,8.711,8.82,110487.79,142767.67,228966.59,1.97
2017-11-08,8.62,9.16,8.88,8.56,174445.41,0.17,1.95,8.592,8.722,8.756,115365.14,158806.32,226727.63,4.04
2017-11-07,8.48,8.75,8.71,8.26,129898.95,0.35,4.19,8.596,8.744,8.686,119064.09,178398.79,220586.37,3.01
2017-11-06,8.45,8.55,8.36,8.18,90592.44,-0.14,-1.65,8.664,8.815,8.622,126446.7,213091.65,216381.13,2.1
2017-11-03,8.46,8.59,8.5,8.36,72458.68,-0.01,-0.12,8.75,9.013,8.574,154537.33,263070.89,214126.63,1.68
2017-11-02,8.82,8.85,8.51,8.5,109430.2,-0.39,-4.38,8.782,9.188,8.512,175047.55,312595.9,212187.42,2.53
2017-11-01,8.92,9.27,8.9,8.84,192940.16,-0.15,-1.66,8.852,9.269,8.453,202247.51,313372.27,209482.39,4.47
2017-10-31,8.77,9.05,9.05,8.35,166812.0,0.26,2.96,8.892,9.226,8.374,237733.49,331453.15,201380.57,3.86
2017-10-30,8.72,9.09,8.79,8.66,231045.62,0.13,1.5,8.966,9.149,8.289,299736.6,334198.28,195754.07,5.35
2017-10-27,8.82,8.93,8.66,8.55,175009.77,-0.2,-2.26,9.276,9.023,8.219,371604.45,318699.05,186364.77,4.05
2017-10-26,9.01,9.15,8.86,8.83,245429.98,-0.24,-2.64,9.594,8.929,8.147,450144.26,315165.51,179649.51,5.68
2017-10-25,9.05,9.46,9.1,8.84,370370.09,-0.32,-3.4,9.686,8.79,8.068,424497.02,294648.94,170557.6,8.57
2017-10-24,10.4,10.64,9.42,9.42,476827.53,-0.92,-8.9,9.56,8.628,7.981,425172.8,262773.95,155164.22,11.04
2017-10-23,9.69,10.78,10.34,9.53,590384.88,0.09,0.88,9.332,8.428,7.883,368659.95,219670.62,133851.23,13.66
2017-10-20,9.97,10.25,10.25,9.53,567708.81,0.93,9.98,8.77,8.134,7.74,265793.66,165182.36,107782.31,13.14
2017-10-19,8.99,9.32,9.32,8.99,117193.81,0.85,10.04,8.264,7.836,7.601,180186.76,111778.94,84034.2,2.71
2017-10-18,9.11,9.11,8.47,8.35,373748.97,0.19,2.29,7.894,7.637,7.506,164800.86,105592.52,81257.2,8.65
2017-09-26,7.5,8.28,8.28,7.45,194263.3,0.75,9.96,7.696,7.521,7.452,100375.1,71307.99,65761.18,4.5
2017-09-25,7.61,7.85,7.53,7.51,76053.39,-0.19,-2.46,7.524,7.429,7.405,70681.28,57309.87,60564.29,1.76
2017-09-22,7.46,8.0,7.72,7.43,139674.34,0.25,3.35,7.498,7.414,7.401,64571.07,54030.49,62694.8,3.23
2017-09-21,7.48,7.53,7.47,7.41,40264.32,-0.01,-0.13,7.408,7.365,7.388,43371.12,44133.51,61570.57,0.93
2017-09-20,7.43,7.52,7.48,7.37,51620.15,0.06,0.81,7.38,7.346,7.382,46384.18,46466.25,67847.0,1.19
2017-09-19,7.42,7.44,7.42,7.36,45794.2,0.02,0.27,7.346,7.333,7.39,42240.87,47554.49,77543.25,1.06
2017-09-18,7.23,7.4,7.4,7.21,45502.34,0.13,1.79,7.334,7.338,7.383,43938.46,48031.85,85739.56,1.05
2017-09-15,7.32,7.35,7.27,7.27,33674.61,-0.06,-0.82,7.33,7.346,7.364,43489.91,50382.25,87087.04,0.78
2017-09-14,7.33,7.38,7.33,7.29,55329.6,0.02,0.27,7.322,7.365,7.352,44895.89,56289.45,91271.22,1.28
2017-09-13,7.37,7.37,7.31,7.26,30903.61,-0.05,-0.68,7.312,7.374,7.349,46548.32,56921.87,91795.73,0.72
2017-09-12,7.42,7.42,7.36,7.29,54282.12,-0.02,-0.27,7.32,7.382,7.342,52868.11,60214.38,93817.5,1.26
2017-09-11,7.24,7.38,7.38,7.24,43259.61,0.15,2.08,7.342,7.381,7.33,52125.24,63818.71,94394.48,1.0
2017-09-08,7.27,7.31,7.23,7.21,40704.53,-0.05,-0.69,7.362,7.387,7.32,57274.59,71359.1,95965.32,0.94
2017-09-07,7.34,7.38,7.28,7.26,63591.74,-0.07,-0.95,7.408,7.411,7.309,67683.01,79007.62,96299.62,1.47
2017-09-06,7.43,7.48,7.35,7.35,62502.53,-0.12,-1.61,7.436,7.417,7.299,67295.42,89227.75,97050.9,1.45
2017-09-05,7.46,7.54,7.47,7.42,50567.8,-0.01,-0.13,7.444,7.446,7.285,67560.66,107532.01,97350.1,1.17
2017-09-04,7.47,7.48,7.48,7.35,69006.34,0.02,0.27,7.42,7.428,7.269,75512.18,123447.28,98294.8,1.6
2017-09-01,7.43,7.6,7.46,7.38,92746.65,0.04,0.54,7.412,7.381,7.243,85443.62,123791.84,96997.22,2.15
2017-08-31,7.37,7.45,7.42,7.33,61653.8,0.03,0.41,7.414,7.338,7.215,90332.24,126252.98,95045.89,1.43
2017-08-30,7.39,7.43,7.39,7.3,63828.71,0.04,0.54,7.398,7.323,7.194,111160.08,126669.58,94569.3,1.48
2017-08-29,7.44,7.46,7.35,7.27,90325.39,-0.09,-1.21,7.448,7.302,7.171,147503.35,127420.61,93876.91,2.09
2017-08-28,7.39,7.48,7.44,7.35,118663.53,-0.03,-0.4,7.436,7.279,7.15,171382.38,124970.25,92271.13,2.75
2017-08-25,7.3,7.53,7.47,7.28,117189.75,0.13,1.77,7.35,7.253,7.129,162140.06,120571.55,89967.87,2.71
2017-08-24,7.5,7.6,7.34,7.32,165793.02,-0.3,-3.93,7.262,7.206,7.1,162173.73,113591.62,88409.74,3.84
2017-08-23,7.28,7.65,7.64,7.17,245545.08,0.35,4.8,7.248,7.181,7.075,142179.08,104874.05,86030.24,5.68
2017-08-22,7.06,7.69,7.29,7.04,209720.52,0.28,3.99,7.156,7.123,7.026,107337.87,87168.2,76480.68,4.85
2017-08-21,7.03,7.04,7.01,6.94,72451.91,-0.02,-0.28,7.122,7.11,6.996,78558.11,73142.31,68340.61,1.68
2017-08-18,7.05,7.14,7.03,7.0,117358.13,-0.24,-3.3,7.156,7.105,6.982,79003.04,70202.61,66975.68,2.72
2017-08-17,7.15,7.28,7.27,7.14,65819.75,0.09,1.25,7.15,7.092,6.966,65009.51,63838.79,64634.97,1.52
2017-08-16,7.14,7.24,7.18,7.09,71339.02,0.06,0.84,7.114,7.064,6.943,67569.01,62469.01,65286.09,1.65
2017-08-15,7.13,7.2,7.12,7.08,65821.74,-0.06,-0.84,7.09,7.039,6.919,66998.53,60333.22,63900.21,1.52
2017-08-14,6.97,7.18,7.18,6.96,74676.55,0.18,2.57,7.098,7.021,6.895,67726.52,59572.02,62601.33,1.73
2017-08-11,7.05,7.1,7.0,6.98,47390.51,-0.09,-1.27,7.054,7.004,6.866,61402.17,59364.19,62744.08,1.1
2017-08-10,7.06,7.16,7.09,6.96,78617.25,0.03,0.42,7.034,6.993,6.864,62668.07,63227.86,61561.06,1.82
2017-08-09,7.13,7.19,7.06,7.04,68486.61,-0.1,-1.4,7.014,6.968,6.859,57369.01,67186.43,59369.77,1.59
2017-08-08,6.95,7.17,7.16,6.9,69461.66,0.2,2.87,6.988,6.928,6.856,53667.9,65793.17,58657.63,1.61
2017-08-07,6.9,6.97,6.96,6.87,43054.84,0.06,0.87,6.944,6.881,6.852,51417.52,63538.92,57895.93,1.0
2017-08-04,6.98,7.04,6.9,6.89,53720.01,-0.09,-1.29,6.954,6.859,6.86,57326.2,63748.75,58606.59,1.24
2017-08-03,6.91,6.99,6.99,6.85,52121.95,0.06,0.87,6.952,6.84,6.875,63787.66,65431.15,58287.56,1.21
2017-08-02,6.96,6.97,6.93,6.8,49981.06,-0.01,-0.14,6.922,6.822,6.886,77003.85,68103.16,58628.62,1.16
2017-08-01,7.01,7.03,6.94,6.9,58209.72,-0.07,-1.0,6.868,6.799,6.904,77918.44,67467.21,58354.63,1.35
2017-07-31,6.95,7.08,7.01,6.93,72598.24,0.12,1.74,6.818,6.768,6.918,75660.31,65630.65,57594.51,1.68
2017-07-28,6.83,7.03,6.89,6.81,86027.31,0.05,0.73,6.764,6.727,6.932,70171.31,66123.97,56826.13,1.99
2017-07-27,6.7,6.92,6.84,6.66,118202.91,0.18,2.7,6.728,6.735,6.948,67074.64,59894.25,55423.27,2.74
2017-07-26,6.69,6.73,6.66,6.63,54554.0,-0.03,-0.45,6.722,6.749,6.97,59202.47,51553.1,52252.26,1.26
2017-07-25,6.71,6.75,6.69,6.63,46919.11,-0.05,-0.74,6.73,6.783,7.003,57015.98,51522.09,51959.49,1.09
2017-07-24,6.7,6.75,6.74,6.65,45153.24,0.03,0.45,6.718,6.823,7.038,55600.98,52252.94,53658.44,1.05
2017-07-21,6.84,6.84,6.71,6.65,70543.94,-0.1,-1.47,6.69,6.86,7.076,62076.62,53464.43,57233.5,1.63
2017-07-20,6.68,7.14,6.81,6.65,78842.04,0.11,1.64,6.742,6.909,7.116,52713.86,51143.96,61429.18,1.82
