date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,25.74,25.74,25.74,25.74,564.97,2.34,10.0,21.466,18.118,18.118,633.82,375.02,375.02,0.23
2017-12-06,23.4,23.4,23.4,23.4,837.26,2.13,10.01,19.514,17.165,17.165,530.99,351.28,351.28,0.34
2017-12-05,21.27,21.27,21.27,21.27,1320.95,1.93,9.98,17.74,16.274,16.274,370.51,281.85,281.85,0.54
2017-12-04,19.34,19.34,19.34,19.34,386.18,1.76,10.01,16.128,15.442,15.442,112.43,108.67,108.67,0.16
2017-12-01,17.58,17.58,17.58,17.58,59.72,1.6,10.01,14.662,14.662,14.662,53.17,53.17,53.17,0.02
2017-11-30,15.98,15.98,15.98,15.98,50.85,1.45,9.98,13.933,13.933,13.933,51.53,51.53,51.53,0.02
2017-11-29,14.53,14.53,14.53,14.53,34.86,1.32,9.99,13.25,13.25,13.25,51.76,51.76,51.76,0.01
2017-11-28,13.21,13.21,13.21,13.21,30.56,1.2,9.99,12.61,12.61,12.61,60.21,60.21,60.21,0.01
2017-11-27,10.01,12.01,12.01,10.01,89.86,3.67,44.01,12.01,12.01,12.01,89.86,89.86,89.86,0.04
