date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,36.6,38.69,37.66,35.87,73389.09,0.71,1.92,36.698,37.524,44.233,61339.47,61412.65,85552.21,20.97
2017-12-06,34.6,37.2,36.95,34.6,63218.74,1.95,5.57,36.764,38.229,45.105,56769.15,59894.51,91762.78,18.06
2017-12-05,34.53,35.87,35.0,34.1,41741.94,0.0,0.0,36.856,39.125,45.971,55983.34,61183.94,93215.28,11.93
2017-12-04,38.15,38.38,35.0,35.0,66499.2,-3.88,-9.98,37.572,40.385,46.688,57558.77,66820.03,96993.74,19.0
2017-12-01,37.5,39.58,38.88,36.66,61848.39,0.89,2.34,38.062,41.431,47.323,58435.36,66878.66,98472.52,17.67
2017-11-30,37.66,38.82,37.99,37.33,50537.47,0.58,1.55,38.35,42.09,47.714,61485.84,70407.62,99169.82,14.44
2017-11-29,38.58,38.58,37.41,36.1,59289.69,-1.17,-3.03,39.694,43.343,48.194,63019.87,75584.55,102043.31,16.94
2017-11-28,37.72,38.96,38.58,37.5,49619.08,1.13,3.02,41.394,45.215,48.653,66384.55,79833.35,104233.52,14.18
2017-11-27,39.6,39.6,37.45,36.9,70882.17,-2.87,-7.12,43.198,46.991,49.003,76081.29,86740.85,106082.69,20.25
2017-11-24,44.22,46.08,40.32,40.28,77100.77,-4.39,-9.82,44.8,49.094,49.441,75321.95,96419.44,108474.29,22.03
2017-11-23,45.8,46.79,44.71,44.7,58207.64,-1.2,-2.61,45.83,50.942,49.992,79329.41,109691.77,111456.32,16.63
2017-11-22,46.6,47.88,45.91,44.5,76113.07,-1.69,-3.55,46.992,51.981,50.366,88149.22,123631.06,116356.86,21.75
2017-11-21,44.96,48.5,47.6,44.47,98102.81,2.14,4.71,49.036,52.817,50.971,93282.14,125246.62,123935.96,28.03
2017-11-20,44.18,45.87,45.46,42.3,67085.46,-0.01,-0.02,50.784,52.991,51.231,97400.4,127167.44,127647.68,19.17
2017-11-17,48.35,49.0,45.47,45.47,97138.05,-5.05,-10.0,53.388,53.214,51.358,117516.94,130066.39,124546.53,27.75
2017-11-16,54.98,55.47,50.52,50.52,102306.72,-5.61,-9.99,56.054,53.337,51.266,140054.13,127932.03,119743.49,29.23
2017-11-15,55.7,57.95,56.13,55.05,101777.68,-0.21,-0.37,56.97,53.045,50.724,159112.9,128502.08,114665.59,29.08
2017-11-14,57.2,58.1,56.34,55.69,118694.1,-2.14,-3.66,56.598,52.09,49.72,157211.09,128633.69,109594.65,33.91
2017-11-13,57.59,60.77,58.48,56.61,167668.14,-0.32,-0.54,55.198,51.014,48.542,156934.48,125424.53,103671.09,47.91
2017-11-10,54.01,60.61,58.8,53.51,209824.0,3.7,6.71,53.04,49.787,47.108,142615.85,120529.14,95292.23,59.95
2017-11-09,54.0,58.28,55.1,51.8,197600.56,0.83,1.53,50.62,49.041,45.523,115809.92,113220.88,84804.08,56.46
2017-11-08,48.88,54.27,54.27,48.68,92268.67,4.93,9.99,49.12,48.751,43.999,97891.26,109082.67,74927.61,26.36
2017-11-07,47.77,49.59,49.34,45.5,117311.05,1.65,3.46,47.582,49.124,42.405,100056.28,122625.3,70316.91,33.52
2017-11-06,47.55,50.0,47.69,47.3,96074.95,0.99,2.12,46.83,49.47,40.956,93914.57,128127.92,64459.55,27.45
2017-11-03,46.76,47.46,46.7,45.56,75794.38,-0.9,-1.89,46.534,49.501,40.601,98442.43,119026.67,62795.58,21.66
2017-11-02,45.78,48.29,47.6,44.5,108007.24,1.02,2.19,47.462,49.195,40.262,110631.84,111554.95,62073.43,30.86
2017-11-01,46.14,47.97,46.58,45.95,103093.77,1.0,2.19,48.382,48.402,39.831,120274.08,100829.11,59371.44,29.46
2017-10-31,44.87,46.35,45.58,44.1,86602.49,-0.63,-1.36,50.666,47.35,39.409,145194.32,90555.61,56638.79,24.74
2017-10-30,49.0,50.39,46.21,46.21,118714.25,-5.13,-9.99,52.11,46.07,38.997,162341.28,81917.65,54641.21,33.92
2017-10-27,50.52,54.5,51.34,49.8,136741.44,-0.86,-1.65,52.468,44.429,38.482,139610.92,70055.32,50064.57,39.07
2017-10-26,55.2,55.6,52.2,52.2,156218.45,-5.8,-10.0,50.928,42.004,37.493,112478.06,56387.28,43397.11,44.63
2017-10-25,49.88,58.08,58.0,49.0,227694.95,5.2,9.85,48.422,39.247,36.268,81384.13,40772.54,33995.34,65.06
2017-10-24,50.96,52.8,52.8,50.01,172337.31,4.8,10.0,44.034,35.686,34.292,35916.9,18008.52,16386.28,49.24
2017-10-19,48.0,48.0,48.0,48.0,5062.45,4.36,9.99,40.03,32.441,32.441,1494.01,791.18,791.18,1.45
2017-10-18,43.64,43.64,43.64,43.64,1077.12,3.97,10.01,36.39,30.712,30.712,499.72,316.59,316.59,0.31
2017-10-17,39.67,39.67,39.67,39.67,748.84,3.61,10.01,33.08,29.096,29.096,296.5,221.53,221.53,0.21
2017-10-16,36.06,36.06,36.06,36.06,358.76,3.28,10.01,30.072,27.586,27.586,160.95,146.2,146.2,0.1
2017-10-13,32.78,32.78,32.78,32.78,222.9,2.98,10.0,27.338,26.173,26.173,100.14,110.77,110.77,0.06
2017-10-12,29.8,29.8,29.8,29.8,91.0,2.71,10.0,24.852,24.852,24.852,88.34,88.34,88.34,0.03
2017-10-11,27.09,27.09,27.09,27.09,61.0,2.46,9.99,23.615,23.615,23.615,87.68,87.68,87.68,0.02
2017-10-10,24.63,24.63,24.63,24.63,71.08,2.24,10.0,22.457,22.457,22.457,96.57,96.57,96.57,0.02
2017-10-09,22.39,22.39,22.39,22.39,54.72,2.04,10.03,21.37,21.37,21.37,109.32,109.32,109.32,0.02
2017-09-29,16.96,20.35,20.35,16.96,163.91,6.22,44.02,20.35,20.35,20.35,163.91,163.91,163.91,0.05
