date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,18.92,19.44,19.31,18.88,66053.04,0.29,1.52,19.074,19.171,19.18,39183.45,40989.28,46815.7,2.12
2017-12-06,18.75,19.04,19.02,18.66,32619.78,0.07,0.37,19.034,19.188,19.161,36672.72,41246.15,44666.7,1.05
2017-12-05,18.88,19.02,18.95,18.8,45027.86,-0.01,-0.05,19.148,19.263,19.155,42188.3,45881.94,44450.84,1.45
2017-12-04,19.06,19.17,18.96,18.96,23970.58,-0.17,-0.89,19.224,19.309,19.162,38575.09,47849.44,44924.14,0.77
2017-12-01,19.0,19.5,19.13,18.8,28246.0,0.02,0.1,19.238,19.353,19.142,40946.74,51231.52,45901.12,0.91
2017-11-30,19.41,19.5,19.11,18.95,53499.38,-0.48,-2.45,19.268,19.345,19.131,42795.1,54159.26,46569.11,1.72
2017-11-29,19.29,19.79,19.59,19.16,60197.69,0.26,1.34,19.342,19.325,19.141,45819.57,52174.42,46631.76,1.93
2017-11-28,19.11,19.37,19.33,19.11,26961.79,0.3,1.58,19.378,19.285,19.123,49575.57,52174.84,45327.61,0.87
2017-11-27,19.21,19.28,19.03,18.91,35828.86,-0.25,-1.3,19.394,19.247,19.114,57123.79,52750.87,44932.44,1.15
2017-11-24,19.06,19.44,19.28,19.06,37487.8,-0.2,-1.03,19.468,19.243,19.112,61516.29,53662.05,45715.83,1.2
2017-11-23,19.9,19.92,19.48,19.47,68621.73,-0.29,-1.47,19.422,19.188,19.115,65523.42,52642.13,46459.69,2.2
2017-11-22,19.42,19.9,19.77,19.2,78977.67,0.36,1.85,19.308,19.134,19.127,58529.27,48087.26,45846.57,2.54
2017-11-21,19.18,19.64,19.41,19.1,64702.91,0.01,0.05,19.192,19.046,19.129,54774.11,43019.74,44202.49,2.08
2017-11-20,19.07,19.45,19.4,18.93,57791.32,0.35,1.84,19.1,19.015,19.153,48377.94,41998.84,45333.96,1.86
2017-11-17,18.94,19.1,19.05,18.71,57523.46,0.14,0.74,19.018,18.931,19.149,45807.82,40570.72,43584.85,1.85
2017-11-16,19.05,19.15,18.91,18.91,33651.0,-0.28,-1.46,18.954,18.916,19.158,39760.84,38978.96,42332.73,1.08
2017-11-15,18.93,19.29,19.19,18.93,60201.87,0.24,1.27,18.96,18.956,19.166,37645.24,41089.09,42556.93,1.93
2017-11-14,18.9,19.1,18.95,18.9,32722.05,-0.04,-0.21,18.9,18.96,19.18,31265.37,38480.38,41400.0,1.05
2017-11-13,18.68,19.06,18.99,18.61,44940.7,0.26,1.39,18.93,18.981,19.2,35619.75,37114.01,41990.23,1.44
2017-11-10,19.0,19.09,18.73,18.72,27288.56,-0.21,-1.11,18.844,18.981,19.221,35333.63,37769.6,42116.17,0.88
2017-11-09,18.92,19.15,18.94,18.88,23073.03,0.05,0.27,18.878,19.042,19.275,38197.08,40277.24,42773.33,0.74
2017-11-08,18.96,19.16,18.89,18.82,28302.5,-0.21,-1.1,18.952,19.12,19.316,44532.94,43605.88,46430.05,0.91
2017-11-07,18.73,19.11,19.1,18.54,54493.95,0.54,2.91,19.02,19.212,19.352,45695.4,45385.24,47655.27,1.75
2017-11-06,18.8,18.89,18.56,18.41,43510.09,-0.34,-1.8,19.032,19.291,19.373,38608.27,48669.08,47180.14,1.4
2017-11-03,19.24,19.27,18.9,18.89,41605.83,-0.41,-2.12,19.118,19.367,19.416,40205.57,46598.98,47631.34,1.34
2017-11-02,19.23,19.56,19.31,19.18,54752.34,0.08,0.42,19.206,19.399,19.443,42357.41,45686.5,48605.04,1.76
2017-11-01,19.23,19.27,19.23,18.8,34114.79,0.07,0.36,19.288,19.375,19.436,42678.81,44024.77,48502.18,1.1
2017-10-31,19.05,19.3,19.16,19.03,19058.3,0.17,0.9,19.404,19.399,19.436,45075.08,44319.61,51844.36,0.61
2017-10-30,19.28,19.28,18.99,18.96,51496.6,-0.35,-1.81,19.55,19.418,19.425,58729.89,46866.46,55866.29,1.65
2017-10-27,19.5,19.76,19.34,19.34,52365.0,-0.38,-1.93,19.616,19.46,19.406,52992.38,46462.74,55147.04,1.68
2017-10-26,19.81,20.19,19.72,19.7,56359.37,-0.09,-0.45,19.592,19.507,19.36,49015.58,45269.41,54548.86,1.81
2017-10-25,19.81,19.88,19.81,19.6,46096.13,-0.08,-0.4,19.462,19.512,19.285,45370.72,49254.22,54950.74,1.48
2017-10-24,19.45,19.92,19.89,19.32,87332.36,0.57,2.95,19.394,19.491,19.239,43564.13,49925.31,55088.6,2.8
2017-10-23,19.13,19.34,19.32,19.13,22809.06,0.1,0.52,19.286,19.455,19.181,35003.03,45691.2,52844.57,0.73
2017-10-20,19.3,19.45,19.22,19.15,32481.0,0.15,0.79,19.304,19.465,19.16,39933.09,48663.71,53769.52,1.04
2017-10-19,19.2,19.5,19.07,18.91,38135.04,-0.4,-2.05,19.422,19.486,19.14,41523.23,51523.58,55129.34,1.22
2017-10-18,19.46,19.56,19.47,19.28,37063.21,0.12,0.62,19.562,19.497,19.136,53137.72,52979.59,57125.14,1.19
2017-10-17,19.37,19.55,19.35,19.15,44526.82,-0.06,-0.31,19.588,19.473,19.124,56286.48,59369.11,57482.62,1.43
2017-10-16,19.73,19.88,19.41,19.3,47459.36,-0.4,-2.02,19.624,19.432,19.117,56379.38,64866.12,59192.74,1.52
2017-10-13,19.77,19.82,19.81,19.61,40431.73,0.04,0.2,19.626,19.351,19.117,57394.33,63831.35,61142.96,1.3
2017-10-12,19.6,19.89,19.77,19.52,96207.49,0.17,0.87,19.55,19.213,19.113,61523.92,63828.32,66267.48,3.09
2017-10-11,19.48,19.61,19.6,19.4,52807.0,0.07,0.36,19.432,19.058,19.099,52821.45,60647.26,65521.48,1.7
2017-10-10,19.41,19.64,19.53,19.24,44991.32,0.11,0.57,19.358,18.987,19.101,62451.74,60251.9,67612.95,1.44
2017-10-09,19.5,19.69,19.42,19.25,52534.1,-0.01,-0.05,19.24,18.907,19.113,73352.85,59997.93,70266.66,1.69
2017-09-29,19.28,19.6,19.43,19.2,61079.71,0.25,1.3,19.076,18.855,19.15,70268.37,58875.34,77403.9,1.96
2017-09-28,19.1,19.37,19.18,19.0,52695.11,-0.05,-0.26,18.876,18.793,19.173,66132.71,58735.1,80169.7,1.69
2017-09-27,18.81,19.37,19.23,18.62,100958.48,0.29,1.53,18.684,18.775,19.186,68473.07,61270.69,79728.83,3.24
2017-09-26,18.71,19.17,18.94,18.7,99496.86,0.34,1.83,18.616,18.774,19.203,58052.06,55596.13,77673.63,3.19
2017-09-25,18.39,18.63,18.6,18.28,37111.68,0.17,0.92,18.574,18.802,19.238,46643.02,53519.36,77872.69,1.19
2017-09-22,18.23,18.55,18.43,18.2,40401.41,0.21,1.15,18.634,18.882,19.285,47482.3,58454.58,79415.71,1.3
2017-09-21,18.59,18.6,18.22,18.08,64396.92,-0.67,-3.55,18.71,19.012,19.321,51337.5,68706.64,80081.13,2.07
2017-09-20,18.73,18.92,18.89,18.67,48853.42,0.16,0.85,18.866,19.14,19.356,54068.31,70395.69,80742.91,1.57
2017-09-19,18.77,18.85,18.73,18.6,42451.65,-0.17,-0.9,18.932,19.214,19.388,53140.21,74973.99,82604.58,1.36
2017-09-18,18.58,18.97,18.9,18.52,41308.12,0.09,0.48,19.03,19.319,19.451,60395.71,80535.38,83374.32,1.33
2017-09-15,19.07,19.09,18.81,18.65,59677.37,-0.19,-1.0,19.13,19.445,19.505,69426.85,95932.47,83952.33,1.92
2017-09-14,19.0,19.1,19.0,18.8,78051.0,-0.22,-1.15,19.314,19.552,19.566,86075.77,101604.3,84157.14,2.51
2017-09-13,19.35,19.35,19.22,19.1,44212.91,0.0,0.0,19.414,19.597,19.616,86723.07,98186.97,86002.2,1.42
2017-09-12,19.2,19.37,19.22,19.11,78729.16,-0.18,-0.93,19.496,19.631,19.645,96807.77,99751.14,89749.33,2.53
2017-09-11,19.28,19.45,19.4,19.16,86463.82,-0.33,-1.67,19.608,19.674,19.698,100675.06,102226.02,91223.63,2.78
2017-09-08,19.66,20.15,19.73,19.5,142921.98,0.23,1.18,19.76,19.688,19.738,122438.09,100376.85,95210.27,4.59
2017-09-07,19.45,19.58,19.5,19.22,81287.49,-0.13,-0.66,19.79,19.63,19.762,117132.83,91455.62,103668.27,2.61
2017-09-06,19.8,19.97,19.63,19.6,94636.4,-0.15,-0.76,19.78,19.572,19.831,109650.86,91090.12,113751.26,3.04
2017-09-05,19.97,19.98,19.78,19.73,98065.6,-0.38,-1.89,19.766,19.562,19.874,102694.5,90235.17,114841.75,3.15
2017-09-04,20.26,20.36,20.16,19.8,195279.0,0.28,1.41,19.74,19.583,19.894,103776.98,86213.25,119053.07,6.27
2017-09-01,19.58,19.94,19.88,19.52,116395.66,0.43,2.21,19.616,19.565,19.912,78315.61,71972.18,119092.17,3.74
2017-08-31,19.39,19.59,19.45,19.37,43877.65,-0.11,-0.56,19.47,19.58,19.95,65778.41,66709.97,127920.5,1.41
2017-08-30,19.5,19.65,19.56,19.35,59854.6,-0.09,-0.46,19.364,19.634,19.975,72529.38,73817.44,134923.32,1.92
2017-08-29,19.99,20.08,19.65,19.64,103477.98,0.11,0.56,19.358,19.658,19.971,77775.83,79747.52,143906.15,3.32
2017-08-28,19.3,19.59,19.54,19.18,67972.15,0.39,2.04,19.426,19.722,19.977,68649.53,80221.25,152337.48,2.18
2017-08-25,18.92,19.19,19.15,18.9,53709.66,0.23,1.22,19.514,19.788,19.958,65628.76,90043.7,160101.6,1.72
2017-08-24,19.45,19.57,18.92,18.9,77632.53,-0.61,-3.12,19.69,19.894,19.921,67641.53,115880.92,161229.98,2.49
2017-08-23,19.89,19.89,19.53,19.34,86086.84,-0.46,-2.3,19.904,20.09,19.901,75105.49,136412.4,162347.5,2.76
2017-08-22,20.0,20.08,19.99,19.86,57846.45,0.01,0.05,19.958,20.186,19.845,81719.21,139448.33,164811.22,1.86
2017-08-21,19.95,20.0,19.98,19.81,52868.3,-0.05,-0.25,20.018,20.205,19.791,91792.97,151892.89,166503.16,1.7
2017-08-18,19.77,20.2,20.03,19.7,63773.54,0.04,0.2,20.062,20.259,19.748,114458.63,166212.16,171268.14,2.05
2017-08-17,20.25,20.33,19.99,19.9,114952.33,0.19,0.96,20.098,20.319,19.7,164120.3,189131.03,174535.89,3.69
2017-08-16,20.12,20.12,19.8,19.68,119155.41,-0.49,-2.42,20.276,20.316,19.646,197719.31,196029.2,180263.21,3.83
2017-08-15,20.17,20.46,20.29,19.9,108215.27,0.09,0.45,20.414,20.283,19.626,197177.46,208064.79,189248.98,3.47
2017-08-14,19.65,20.55,20.2,19.48,166196.62,-0.01,-0.05,20.392,20.232,19.525,211992.81,224453.71,189298.63,5.34
2017-08-11,21.1,21.65,20.21,20.08,312081.88,-0.67,-3.21,20.456,20.127,19.421,217965.69,230159.51,191057.54,10.02
2017-08-10,21.29,21.29,20.88,20.79,282947.38,0.39,1.9,20.54,19.948,19.326,214141.76,206579.04,181017.76,9.09
2017-08-09,20.3,20.7,20.49,20.18,116446.15,0.31,1.54,20.356,19.712,19.221,194339.09,188282.59,176602.72,3.74
2017-08-08,20.45,20.96,20.18,20.15,182292.0,-0.34,-1.66,20.152,19.504,19.111,218952.12,190174.11,176285.47,5.85
2017-08-07,20.15,20.6,20.52,19.9,196061.06,-0.11,-0.53,20.072,19.377,19.013,236914.61,181113.43,174648.93,6.3
2017-08-04,20.04,21.04,20.63,19.8,292962.19,0.67,3.36,19.798,19.237,18.895,242353.33,176324.11,173870.56,9.41
2017-08-03,19.48,20.05,19.96,19.38,183934.05,0.49,2.52,19.356,19.081,18.826,199016.33,159940.75,170300.67,5.91
2017-08-02,19.72,20.19,19.47,19.37,239511.3,-0.31,-1.57,19.068,18.975,18.803,182226.09,164497.22,174752.86,7.69
2017-08-01,19.2,20.2,19.78,18.87,272104.47,0.63,3.29,18.856,18.968,18.756,161396.11,170433.17,170569.44,8.74
2017-07-31,18.57,19.19,19.15,18.56,223254.66,0.73,3.96,18.682,18.817,18.682,125312.24,154143.56,167419.8,7.17
2017-07-28,18.39,18.6,18.42,18.16,76277.16,-0.1,-0.54,18.676,18.715,18.675,110294.89,151955.57,165249.52,2.45
