date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,33.86,33.86,33.86,33.86,402.05,3.08,10.01,28.238,28.238,28.238,154.59,154.59,154.59,0.19
2017-12-06,30.78,30.78,30.78,30.78,175.18,2.8,10.01,26.833,26.833,26.833,92.73,92.73,92.73,0.08
2017-12-05,27.98,27.98,27.98,27.98,85.9,2.54,9.98,25.517,25.517,25.517,65.24,65.24,65.24,0.04
2017-12-04,25.44,25.44,25.44,25.44,19.78,2.31,9.99,24.285,24.285,24.285,54.92,54.92,54.92,0.01
2017-12-01,21.2,23.13,23.13,21.2,90.05,7.07,44.02,23.13,23.13,23.13,90.05,90.05,90.05,0.04
