date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,6.53,6.88,6.67,6.46,35389.08,0.12,1.83,6.624,6.64,6.864,24017.35,20642.71,25199.88,0.57
2017-12-06,6.53,6.59,6.55,6.4,22496.1,-0.02,-0.3,6.614,6.658,6.903,20062.93,19031.65,24512.9,0.36
2017-12-05,6.6,6.69,6.57,6.4,26155.8,-0.06,-0.91,6.632,6.695,6.947,18740.33,18683.7,25169.47,0.42
2017-12-04,6.71,6.75,6.63,6.62,21314.24,-0.07,-1.04,6.652,6.732,6.987,16442.53,18530.65,24994.57,0.34
2017-12-01,6.62,6.72,6.7,6.61,14731.53,0.08,1.21,6.65,6.782,7.028,15383.83,20671.11,25431.86,0.24
2017-11-30,6.64,6.68,6.62,6.61,15616.97,-0.02,-0.3,6.656,6.819,7.056,17268.07,24348.91,25999.69,0.25
2017-11-29,6.67,6.7,6.64,6.6,15883.1,-0.03,-0.45,6.702,6.874,7.088,18000.37,24407.97,26215.84,0.26
2017-11-28,6.61,6.68,6.67,6.55,14666.8,0.05,0.76,6.758,6.925,7.124,18627.07,24989.07,26424.91,0.24
2017-11-27,6.74,6.74,6.62,6.6,16020.74,-0.11,-1.63,6.812,6.972,7.161,20618.77,25994.94,26399.28,0.26
2017-11-24,6.8,6.85,6.73,6.7,24152.74,-0.12,-1.75,6.914,7.026,7.195,25958.4,29867.75,27028.98,0.39
2017-11-23,6.92,6.97,6.85,6.82,19278.45,-0.07,-1.01,6.982,7.087,7.235,31429.75,29757.05,27042.8,0.31
2017-11-22,6.94,6.96,6.92,6.85,19016.6,-0.02,-0.29,7.046,7.148,7.277,30815.56,29994.16,27350.34,0.31
2017-11-21,7.06,7.07,6.94,6.9,24625.3,-0.19,-2.67,7.092,7.199,7.32,31351.07,31655.23,27685.01,0.4
2017-11-20,6.99,7.15,7.13,6.77,42718.91,0.06,0.85,7.132,7.242,7.356,31371.11,31458.5,27443.61,0.69
2017-11-17,7.17,7.17,7.07,6.8,51509.5,-0.1,-1.4,7.138,7.274,7.382,33777.11,30192.61,26485.39,0.83
2017-11-16,7.14,7.19,7.17,7.11,16207.51,0.02,0.28,7.192,7.292,7.405,28084.34,27650.48,24824.64,0.26
2017-11-15,7.13,7.18,7.15,7.1,21694.11,0.01,0.14,7.25,7.301,7.418,29172.76,28023.71,26448.77,0.35
2017-11-14,7.16,7.23,7.14,7.08,24725.54,-0.02,-0.28,7.306,7.323,7.445,31959.4,27860.76,28001.93,0.4
2017-11-13,7.3,7.33,7.16,7.09,54748.88,-0.18,-2.45,7.352,7.349,7.483,31545.89,26803.62,28550.8,0.88
2017-11-10,7.46,7.46,7.34,7.3,23045.66,-0.12,-1.61,7.41,7.363,7.525,26608.12,24190.21,29547.47,0.37
2017-11-09,7.39,7.49,7.46,7.33,21649.61,0.03,0.4,7.392,7.382,7.573,27216.62,24328.55,33715.34,0.35
2017-11-08,7.36,7.57,7.43,7.35,35627.32,0.06,0.81,7.352,7.406,7.599,26874.67,24706.52,34241.14,0.57
2017-11-07,7.36,7.39,7.37,7.26,22657.99,-0.08,-1.07,7.34,7.44,7.632,23762.12,23714.78,33908.77,0.37
2017-11-06,7.25,7.49,7.45,7.11,30060.01,0.2,2.76,7.346,7.469,7.67,22061.35,23428.71,35110.57,0.48
2017-11-03,7.52,7.58,7.25,7.0,26088.16,-0.01,-0.14,7.316,7.489,7.694,21772.29,22778.16,34907.52,0.42
2017-11-02,7.38,7.4,7.26,7.23,19939.86,-0.11,-1.49,7.372,7.518,7.724,21440.48,21998.8,35136.67,0.32
2017-11-01,7.37,7.42,7.37,7.3,20064.6,-0.03,-0.41,7.46,7.535,7.754,22538.36,24873.83,35881.95,0.32
2017-10-31,7.25,7.43,7.4,7.25,14154.14,0.1,1.37,7.54,7.566,7.784,23667.43,28143.09,36177.44,0.23
