date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,32.89,32.89,31.68,30.51,274173.16,1.78,5.95,27.186,26.058,26.058,67317.94,56143.13,56143.13,68.53
2017-12-06,29.9,29.9,29.9,29.9,54952.92,2.72,10.01,24.934,24.934,24.934,12537.12,12537.12,12537.12,13.73
2017-12-05,27.18,27.18,27.18,27.18,6007.16,2.47,10.0,23.693,23.693,23.693,1933.18,1933.18,1933.18,1.5
2017-12-04,24.71,24.71,24.71,24.71,1230.74,2.25,10.02,22.53,22.53,22.53,575.18,575.18,575.18,0.31
2017-12-01,22.46,22.46,22.46,22.46,225.72,2.04,9.99,21.44,21.44,21.44,247.4,247.4,247.4,0.06
2017-11-30,17.02,20.42,20.42,17.02,269.08,6.24,44.01,20.42,20.42,20.42,269.08,269.08,269.08,0.07
