date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,45.5,46.0,44.91,43.9,110692.46,1.71,3.96,41.702,43.517,51.886,72732.32,73093.88,101005.46,27.0
2017-12-06,40.3,43.2,43.2,40.3,49168.52,3.93,10.01,41.436,44.186,52.878,62259.49,71500.32,103522.61,11.99
2017-12-05,38.8,41.79,39.25,38.5,75168.03,0.8,2.08,41.66,45.151,53.952,71258.69,75329.15,112401.92,18.33
2017-12-04,41.4,43.0,38.45,38.45,73671.5,-4.27,-9.99,42.906,46.717,55.304,68740.57,81913.75,119538.31,17.97
2017-12-01,43.5,44.93,42.7,42.25,54961.07,-0.86,-1.97,44.172,48.298,56.394,68455.69,83751.54,129617.01,13.41
2017-11-30,44.0,44.97,43.58,43.02,58328.33,-0.9,-2.02,45.332,49.418,57.131,73455.44,88986.91,134556.7,14.23
2017-11-29,45.25,45.4,44.32,42.02,94164.54,-1.13,-2.49,46.936,51.036,57.563,80741.15,97818.54,132163.08,22.97
2017-11-28,45.0,45.77,45.48,44.4,62577.43,0.79,1.77,48.642,53.244,57.72,79399.6,102295.25,129471.65,15.26
2017-11-27,48.27,48.96,44.78,44.52,72247.07,-3.82,-7.86,50.528,56.073,57.604,95086.92,115385.16,126609.93,17.62
2017-11-24,50.1,52.19,48.5,48.48,79959.85,-3.11,-6.03,52.424,58.307,57.326,99047.39,119390.17,123073.1,19.5
2017-11-23,51.81,55.45,51.6,51.09,94756.84,-1.27,-2.4,53.504,60.254,56.684,104518.38,128917.04,119186.2,23.11
2017-11-22,53.9,54.6,52.85,51.06,87456.83,-2.35,-4.26,55.136,61.569,55.725,114895.93,135544.9,114552.13,21.33
2017-11-21,53.25,58.0,54.91,48.88,141014.02,0.68,1.25,57.846,62.753,54.556,125190.9,149474.69,110267.33,34.39
2017-11-20,52.66,55.05,54.26,51.98,92049.43,0.36,0.67,61.618,63.89,53.15,135683.4,157162.88,103335.37,22.45
2017-11-17,58.8,59.5,53.9,53.9,107314.8,-5.99,-10.0,64.19,64.489,51.655,139732.95,175482.47,98820.14,26.17
2017-11-16,63.89,65.3,59.76,59.76,146644.58,-6.64,-10.0,67.004,64.843,50.067,153315.69,180126.48,93498.64,35.77
