date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-07,17.95,18.86,18.65,17.81,154747.8,0.61,3.38,17.854,17.781,19.335,136108.79,161764.83,172071.01,2.24
2017-12-06,17.47,18.08,18.04,17.11,97067.19,0.73,4.22,17.442,17.661,19.547,135875.33,171292.65,170209.32,1.41
2017-12-05,17.73,18.33,17.31,16.93,146584.73,-0.41,-2.31,17.274,17.658,19.796,176710.02,203193.32,173897.34,2.12
2017-12-04,17.5,18.0,17.72,17.19,122477.65,0.17,0.97,17.48,17.882,20.022,173050.41,209896.02,178855.35,1.78
2017-12-01,16.5,17.79,17.55,16.48,159666.56,0.96,5.79,17.576,18.196,20.208,181459.35,216627.03,177694.92,2.31
2017-11-30,17.03,17.17,16.59,16.41,153580.52,-0.61,-3.55,17.708,18.462,20.345,187420.88,216154.6,173665.85,2.23
2017-11-29,18.22,18.24,17.2,16.51,301240.66,-1.14,-6.22,17.88,19.049,20.517,206709.98,211437.97,171227.93,4.37
2017-11-28,18.18,18.55,18.34,17.58,128286.64,0.14,0.77,18.042,19.505,20.699,229676.61,195340.0,159892.5,1.86
2017-11-27,18.0,18.96,18.2,17.77,164522.38,-0.01,-0.06,18.284,19.885,20.852,246741.64,196366.32,157528.72,2.39
2017-11-24,17.6,18.34,18.21,17.32,189474.2,0.76,4.36,18.816,20.37,21.013,251794.72,191590.81,155340.02,2.75
2017-11-23,18.01,18.66,17.45,17.38,250026.0,-0.56,-3.11,19.216,20.889,21.158,244888.32,182377.18,150188.93,3.62
2017-11-22,19.71,19.88,18.01,17.68,416073.84,-1.54,-7.88,20.218,21.433,21.311,216165.97,169125.99,142030.12,6.03
2017-11-21,20.31,20.96,19.55,19.11,213611.77,-1.31,-6.28,20.968,21.933,21.411,161003.39,144601.36,124421.49,3.1
2017-11-20,19.52,20.98,20.86,18.28,189787.77,0.65,3.22,21.486,22.161,21.421,145991.0,147814.68,116197.5,2.75
2017-11-17,22.64,22.87,20.21,20.21,154942.22,-2.25,-10.02,21.924,22.22,21.373,131386.91,138762.81,108948.46,2.25
2017-11-16,21.78,22.58,22.46,21.18,106414.26,0.7,3.22,22.562,22.228,21.357,119866.05,131177.1,104208.68,1.54
